t;x;rho;u;e;p
0;0.0365;0.999997;3.34611e-06;2.49999;0.999996
0;0.0366;0.999997;3.55163e-06;2.49999;0.999996
0;0.0367;0.999997;3.76893e-06;2.49999;0.999996
0;0.0368;0.999997;3.99863e-06;2.49999;0.999995
0;0.0369;0.999996;4.24138e-06;2.49999;0.999995
0;0.037;0.999996;4.49786e-06;2.49999;0.999995
0;0.0371;0.999996;4.76879e-06;2.49999;0.999994
0;0.0372;0.999996;5.05491e-06;2.49999;0.999994
0;0.0373;0.999995;5.357e-06;2.49998;0.999994
0;0.0374;0.999995;5.67587e-06;2.49998;0.999993
0;0.0375;0.999995;6.01238e-06;2.49998;0.999993
0;0.0376;0.999995;6.36742e-06;2.49998;0.999992
0;0.0377;0.999994;6.74192e-06;2.49998;0.999992
0;0.0378;0.999994;7.13686e-06;2.49998;0.999992
0;0.0379;0.999994;7.55325e-06;2.49998;0.999991
0;0.038;0.999993;7.99215e-06;2.49998;0.999991
0;0.0381;0.999993;8.45467e-06;2.49997;0.99999
0;0.0382;0.999992;8.94196e-06;2.49997;0.999989
0;0.0383;0.999992;9.45524e-06;2.49997;0.999989
0;0.0384;0.999992;9.99575e-06;2.49997;0.999988
0;0.0385;0.999991;1.05648e-05;2.49997;0.999987
0;0.0386;0.999991;1.11638e-05;2.49997;0.999987
0;0.0387;0.99999;1.17941e-05;2.49997;0.999986
0;0.0388;0.999989;1.24572e-05;2.49996;0.999985
0;0.0389;0.999989;1.31547e-05;2.49996;0.999984
0;0.039;0.999988;1.38881e-05;2.49996;0.999984
0;0.0391;0.999988;1.46592e-05;2.49996;0.999983
0;0.0392;0.999987;1.54696e-05;2.49995;0.999982
0;0.0393;0.999986;1.63212e-05;2.49995;0.999981
0;0.0394;0.999985;1.72159e-05;2.49995;0.99998
0;0.0395;0.999985;1.81556e-05;2.49995;0.999979
0;0.0396;0.999984;1.91423e-05;2.49994;0.999977
0;0.0397;0.999983;2.01782e-05;2.49994;0.999976
0;0.0398;0.999982;2.12655e-05;2.49994;0.999975
0;0.0399;0.999981;2.24063e-05;2.49993;0.999973
0;0.04;0.99998;2.36031e-05;2.49993;0.999972
0;0.0401;0.999979;2.48583e-05;2.49993;0.999971
0;0.0402;0.999978;2.61745e-05;2.49992;0.999969
0;0.0403;0.999977;2.75543e-05;2.49992;0.999967
0;0.0404;0.999975;2.90004e-05;2.49991;0.999966
0;0.0405;0.999974;3.05156e-05;2.49991;0.999964
0;0.0406;0.999973;3.21029e-05;2.49991;0.999962
0;0.0407;0.999971;3.37653e-05;2.4999;0.99996
0;0.0408;0.99997;3.5506e-05;2.49989;0.999958
0;0.0409;0.999968;3.73281e-05;2.49989;0.999956
0;0.041;0.999967;3.92351e-05;2.49988;0.999954
0;0.0411;0.999965;4.12303e-05;2.49988;0.999951
0;0.0412;0.999963;4.33175e-05;2.49987;0.999949
0;0.0413;0.999962;4.55004e-05;2.49987;0.999946
0;0.0414;0.99996;4.77826e-05;2.49986;0.999943
0;0.0415;0.999958;5.01683e-05;2.49985;0.999941
0;0.0416;0.999955;5.26616e-05;2.49984;0.999938
0;0.0417;0.999953;5.52665e-05;2.49984;0.999935
